game_id,bet_type,teams,market_line,model_line,edge,home_team,away_team,home_score,away_score,actual_margin,actual_total,spread_error,total_error,ortg_r10_delta,drtg_r10_delta,netrtg_r10_delta,pace_est_r10_delta,efg_r10_delta,ts_r10_delta,ftr_r10_delta,tov_pct_r10_delta,orb_pct_r10_delta,ortg_r30_delta,drtg_r30_delta,netrtg_r30_delta,pace_est_r30_delta,efg_r30_delta,ts_r30_delta,ftr_r30_delta,tov_pct_r30_delta,orb_pct_r30_delta,rest_diff,home_indicator,ortg_r10_sum,drtg_r10_mean,netrtg_r10_mean,pace_est_r10_sum,efg_r10_mean,ts_r10_mean,ftr_r10_mean,tov_pct_r10_mean,orb_pct_r10_mean,ortg_r30_sum,drtg_r30_mean,netrtg_r30_mean,pace_est_r30_sum,efg_r30_mean,ts_r30_mean,ftr_r30_mean,tov_pct_r30_mean,orb_pct_r30_mean
18447284,Spread,POR @ OKC,OKC -15.5,OKC -43.1,27.6,OKC,POR,124,95,29.0,219.0,-14.100000000000001,,3.800605467394064,-2.552388996906572,6.352994464300633,-1.7680000000000007,-0.006964098411024189,-0.008988315765136368,-0.11219760993060937,-0.05526115340496611,-0.03604190367763571,10.215696547941349,-6.568617399563678,16.78431394750498,-2.869333333333344,0.04897995498698138,0.042889725251903155,-0.07818339963863669,-0.052780864592530494,-0.07318654148245013,0,1,,,,,,,,,,,,,,,,,,
18447281,Total,NYK @ SAS,237.5,259.1,21.6,SAS,NYK,134,132,2.0,266.0,,6.899999999999977,,,,,,,,,,,,,,,,,,,0,1,239.931986050288,117.689359864728,2.276633160416014,202.60000000000002,0.550326227551295,0.5829041110555465,0.23900658041063805,0.11316076081724039,0.314197168223764,240.81217102324052,113.86830741707311,6.537778094547145,201.55466666666663,0.561814226952831,0.595805356636287,0.2680046163326688,0.12321307618422,0.2977825539028398
18447283,Spread,WAS @ MIL,MIL -10.5,MIL -27.7,17.2,MIL,WAS,113,114,-1.0,227.0,-28.7,,-12.084716220740674,-0.6767263554248615,-11.407989865315887,-2.7039999999999935,-0.01508389237220098,-0.015707271315897997,0.011535284045790128,0.06435094016616182,-0.0502049302173036,-2.347711797473039,-4.970825490837939,2.6231136933648855,-4.072000000000003,0.022415883512021173,0.01863937318575115,-0.0004384530906295092,0.022794291428217206,-0.053304152383741504,0,1,,,,,,,,,,,,,,,,,,
18447282,Spread,DEN @ TOR,TOR -7.5,TOR -21.1,13.6,TOR,DEN,103,106,-3.0,209.0,-24.1,,-17.32473141385921,-11.906333390238359,-5.4183980236208615,-3.1999999999999886,-0.08517851157935052,-0.09531297704016439,-0.11572680420829207,0.019368046082968604,0.026270419951710006,-19.674338554362237,-6.323276501941422,-13.35106205242085,-1.0693333333333186,-0.0991902141733072,-0.10415413256898387,-0.07300743387090047,0.025788449064132787,0.036897518816130515,0,1,,,,,,,,,,,,,,,,,,
18447276,Spread,GSW @ CHA,CHA +6.5,CHA +19.1,12.6,CHA,GSW,125,132,-7.0,257.0,12.100000000000001,,5.3775471566250275,1.044717824111089,4.332829332513924,-4.65600000000002,0.013846263362562228,0.001599934318245122,-0.024398545539110694,-0.022373703188366595,0.052613161206511605,-1.518999505777657,3.954311882259475,-5.473311388037144,0.7360000000000184,0.0012933608769278848,0.001302684231571427,0.01764159400152493,-0.003193795400892291,-0.025260744942080193,0,1,,,,,,,,,,,,,,,,,,
18447279,Spread,PHX @ CLE,CLE -6.5,CLE -17.7,-11.2,CLE,PHX,129,113,16.0,242.0,-1.6999999999999993,,-1.8688602614953282,6.927710777737232,-8.796571039232523,3.8400000000000176,0.0008823286504634487,-0.004079426892620419,-0.05421224076954201,-0.026368983598276413,-0.07542511181583653,4.094605709716561,3.307544730816474,0.7870609789000695,3.287999999999954,0.011020303856278169,0.014661375513863595,-0.008284914087772294,-0.017160944413969204,-0.010173873455948279,0,1,,,,,,,,,,,,,,,,,,
18447277,Spread,MIN @ ATL,ATL +4.5,ATL +11.8,7.3,ATL,MIN,126,102,24.0,228.0,35.8,,3.8419997298577186,13.86090510310241,-10.018905373244667,5.1200000000000045,0.04620493555309613,0.04789138883490707,-0.024422538544773442,0.019084206660484312,-0.054141233540482586,-2.83821627824247,8.668416320260334,-11.50663259850272,4.893333333333359,0.0072380899443889035,0.002586781333017929,-0.08322579300024158,0.014390428003935293,-0.026060949920663573,0,1,,,,,,,,,,,,,,,,,,
18447278,Spread,ORL @ IND,IND +3.5,IND +9.6,6.1,IND,ORL,110,112,-2.0,222.0,7.6,,-6.197886521018148,-0.7892126987536159,-5.408673822264532,-2.288000000000011,-0.006758070638814395,-0.01094772149825074,-0.04485574172784901,0.017619616550200293,-0.03865654622161638,-3.389377105039287,-0.6478112163539436,-2.7415658886853724,-3.52266666666668,0.007879499517014832,0.004810486603044062,-0.026124257213433977,0.016268745012819302,-0.047441262369316284,0,1,,,,,,,,,,,,,,,,,,
18447280,Spread,NOP @ CHI,CHI +1.5,CHI +3.7,2.2,CHI,NOP,134,118,16.0,252.0,19.7,,6.09795835188217,0.5398334023204825,5.5581249495616705,-2.3760000000000048,0.056325731127493395,0.03605832598462977,-0.05811591872726074,0.0010910541745751123,-0.01643345317119682,-1.7578922471336256,0.1527753818140809,-1.9106676289476805,-2.077333333333357,0.020096923663843413,0.004484562004918091,-0.04117035954860776,0.019681393933602603,-0.005110964647977584,0,1,,,,,,,,,,,,,,,,,,
